index,person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
0,GEN 1:1__Yhvh_1_1,GEN 1:1,Yhvh_1_1,Yhvh_1,G-d,1.0,1,
1,GEN 1:2__Yhvh_1_1,GEN 1:2,Yhvh_1_1,Yhvh_1,G-d,1.0,2,
2,GEN 1:3__Yhvh_1_1,GEN 1:3,Yhvh_1_1,Yhvh_1,G-d,1.0,3,
3,GEN 1:4__Yhvh_1_1,GEN 1:4,Yhvh_1_1,Yhvh_1,G-d,1.0,4,
4,GEN 1:5__Yhvh_1_1,GEN 1:5,Yhvh_1_1,Yhvh_1,G-d,1.0,5,
5,GEN 1:6__Yhvh_1_1,GEN 1:6,Yhvh_1_1,Yhvh_1,G-d,1.0,6,
6,GEN 1:7__Yhvh_1_1,GEN 1:7,Yhvh_1_1,Yhvh_1,G-d,1.0,7,
7,GEN 1:8__Yhvh_1_1,GEN 1:8,Yhvh_1_1,Yhvh_1,G-d,1.0,8,
8,GEN 1:9__Yhvh_1_1,GEN 1:9,Yhvh_1_1,Yhvh_1,G-d,1.0,9,
9,GEN 1:10__Yhvh_1_1,GEN 1:10,Yhvh_1_1,Yhvh_1,G-d,1.0,10,
10,GEN 1:11__Yhvh_1_1,GEN 1:11,Yhvh_1_1,Yhvh_1,G-d,1.0,11,
11,GEN 1:12__Yhvh_1_1,GEN 1:12,Yhvh_1_1,Yhvh_1,G-d,1.0,12,
12,GEN 1:13__NA,GEN 1:13,,,,,13,
13,GEN 1:14__Yhvh_1_1,GEN 1:14,Yhvh_1_1,Yhvh_1,G-d,1.0,14,
14,GEN 1:15__NA,GEN 1:15,,,,,15,
15,GEN 1:16__Yhvh_1_1,GEN 1:16,Yhvh_1_1,Yhvh_1,G-d,1.0,16,
16,GEN 1:17__Yhvh_1_1,GEN 1:17,Yhvh_1_1,Yhvh_1,G-d,1.0,17,
17,GEN 1:18__Yhvh_1_1,GEN 1:18,Yhvh_1_1,Yhvh_1,G-d,1.0,18,
18,GEN 1:19__NA,GEN 1:19,,,,,19,
19,GEN 1:20__Yhvh_1_1,GEN 1:20,Yhvh_1_1,Yhvh_1,G-d,1.0,20,
20,GEN 1:21__Yhvh_1_1,GEN 1:21,Yhvh_1_1,Yhvh_1,G-d,1.0,21,
21,GEN 1:22__Yhvh_1_1,GEN 1:22,Yhvh_1_1,Yhvh_1,G-d,1.0,22,
22,GEN 1:23__NA,GEN 1:23,,,,,23,
23,GEN 1:24__Yhvh_1_1,GEN 1:24,Yhvh_1_1,Yhvh_1,G-d,1.0,24,
24,GEN 1:25__Yhvh_1_1,GEN 1:25,Yhvh_1_1,Yhvh_1,G-d,1.0,25,
25,GEN 1:26__Yhvh_1_1,GEN 1:26,Yhvh_1_1,Yhvh_1,G-d,1.0,26,
26,GEN 1:27__Yhvh_1_1,GEN 1:27,Yhvh_1_1,Yhvh_1,G-d,1.0,27,
27,GEN 1:28__Yhvh_1_1,GEN 1:28,Yhvh_1_1,Yhvh_1,G-d,1.0,28,
28,GEN 1:29__Yhvh_1_1,GEN 1:29,Yhvh_1_1,Yhvh_1,G-d,1.0,29,
29,GEN 1:30__NA,GEN 1:30,,,,,30,
30,GEN 1:31__Yhvh_1_1,GEN 1:31,Yhvh_1_1,Yhvh_1,G-d,1.0,31,
31,GEN 2:1__NA,GEN 2:1,,,,,32,
32,GEN 2:2__Yhvh_1_1,GEN 2:2,Yhvh_1_1,Yhvh_1,G-d,1.0,33,
33,GEN 2:3__Yhvh_1_1,GEN 2:3,Yhvh_1_1,Yhvh_1,G-d,1.0,34,
34,GEN 2:4__Yhvh_1_1,GEN 2:4,Yhvh_1_1,Yhvh_1,G-d,1.0,35,
35,GEN 2:5__Yhvh_1_1,GEN 2:5,Yhvh_1_1,Yhvh_1,G-d,1.0,36,
36,GEN 2:6__NA,GEN 2:6,,,,,37,
37,GEN 2:7__Yhvh_1_2,GEN 2:7,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,38,
38,GEN 2:8__Yhvh_1_2,GEN 2:8,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,39,
39,GEN 2:9__Yhvh_1_2,GEN 2:9,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,40,
40,GEN 2:10__NA,GEN 2:10,,,,,41,
41,GEN 2:11__NA,GEN 2:11,,,,,42,
42,GEN 2:12__NA,GEN 2:12,,,,,43,
43,GEN 2:13__NA,GEN 2:13,,,,,44,
44,GEN 2:14__NA,GEN 2:14,,,,,45,
45,GEN 2:15__Yhvh_1_2,GEN 2:15,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,46,
46,GEN 2:16__Yhvh_1_2,GEN 2:16,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,47,
47,GEN 2:17__NA,GEN 2:17,,,,,48,
48,GEN 2:18__Yhvh_1_2,GEN 2:18,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,49,
49,GEN 2:19__Yhvh_1_2,GEN 2:19,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,50,
50,GEN 2:20__Adam_1_1,GEN 2:20,Adam_1_1,Adam_1,Adam,1.0,51,
51,GEN 2:21__Yhvh_1_2,GEN 2:21,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,52,
52,GEN 2:22__Yhvh_1_2,GEN 2:22,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,53,
53,GEN 2:23__NA,GEN 2:23,,,,,54,
54,GEN 2:24__NA,GEN 2:24,,,,,55,
55,GEN 2:25__NA,GEN 2:25,,,,,56,
56,GEN 3:1__Yhvh_1_2,GEN 3:1,Yhvh_1_2,Yhvh_1,LORD G-d,2.0,57,
57,GEN 3:2__NA,GEN 3:2,,,,,58,
58,GEN 3:3__Yhvh_1_1,GEN 3:3,Yhvh_1_1,Yhvh_1,G-d,1.0,59,
59,GEN 3:4__NA,GEN 3:4,,,,,60,
60,GEN 3:5__Yhvh_1_1,GEN 3:5,Yhvh_1_1,Yhvh_1,G-d,2.0,61,
61,GEN 3:6__NA,GEN 3:6,,,,,62,
62,GEN 3:7__NA,GEN 3:7,,,,,63,
63,GEN 3:8__Yhvh_1_2,GEN 3:8,Yhvh_1_2,Yhvh_1,LORD G-d,2.0,64,
64,GEN 3:9__Yhvh_1_2,GEN 3:9,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,65,
65,GEN 3:10__NA,GEN 3:10,,,,,66,
66,GEN 3:11__NA,GEN 3:11,,,,,67,
67,GEN 3:12__NA,GEN 3:12,,,,,68,
68,GEN 3:13__Yhvh_1_2,GEN 3:13,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,69,
69,GEN 3:14__Yhvh_1_2,GEN 3:14,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,70,
70,GEN 3:15__NA,GEN 3:15,,,,,71,
71,GEN 3:16__NA,GEN 3:16,,,,,72,
72,GEN 3:17__Adam_1_1,GEN 3:17,Adam_1_1,Adam_1,Adam,1.0,73,
73,GEN 3:18__NA,GEN 3:18,,,,,74,
74,GEN 3:19__NA,GEN 3:19,,,,,75,
75,GEN 3:20__Eve_1_1,GEN 3:20,Eve_1_1,Eve_1,Eve,1.0,76,
76,GEN 3:21__Yhvh_1_2,GEN 3:21,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,77,
77,GEN 3:21__Adam_1_1,GEN 3:21,Adam_1_1,Adam_1,Adam,1.0,78,
78,GEN 3:22__Yhvh_1_2,GEN 3:22,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,79,
79,GEN 3:23__Yhvh_1_2,GEN 3:23,Yhvh_1_2,Yhvh_1,LORD G-d,1.0,80,
80,GEN 3:24__NA,GEN 3:24,,,,,81,
81,GEN 4:1__Eve_1_1,GEN 4:1,Eve_1_1,Eve_1,Eve,1.0,82,
